,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Name of Contractor,,DIGITCOM INDIA TECHNOLOGIES,,,,,,,,,,,,,,,,R4G Project
1,WO No,,P14/630330726,,,,,,,,,,,,,,,,
2,Site ID,,As per attached Detail,,,,,,,,,,,,,,,,
3,WBS Code,,As per attached Detail,,,,,,,,,,,,,,,,
4,Site Name,,As per attached Detail,,,,,,,,,,,,,,,,
5,Warehouse Location,,JODHPUR,,,,,,,,,,,,,,,,
6,Time Period,,30-JAN-26 TO 04-FEB-26,,,,,,,,,,,,,,,,
7,Material Reconciliation Statement,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,Material Description,EARTHING CLAMP,INSTALLATION IRM KIT,POWER CABLE 50 MTR (MULTIMODE),POWER CABLE 60 MTR,POWER CABLE 60 MTR (MULTIMODE),INSTALLATION IRM KIT,A6 RADIO ODU,CPRI CABLE 05 MTR - (MULTIMODE),CPRI CABLE 60 MTR - (MULTIMODE),SFP MULTIMODE 10G - AIR FIBER,MOUNTING BRACKET,MOUNTING BRACKET,SFP MULTIMODE 1G 10 KM,A6 RADIO ODU,,,
10,,Material Code,2002269100,2002456956,2002462695,2002462717,2002462717,2002475640,2002495907,2002503216,2002537662,2002668758,2002669121,2002677184,2002697798,9500178489,,,
11,A.,Receipt details as confirmed by Contractor:,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,1,Received directly from Warehouse,1,2,2,4,2,6,2,2,6,12,4,4,4,6,,,
14,,,,,,,,,,,,,,,,,,,
15,2,Material received from other contractors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16,,,,,,,,,,,,,,,,,,,
17,,Total   (1+2),,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,B.,Material Transferred to other contractors / returned to Warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20,1,Material Transferred to other contractors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
21,2,Material Returned to Warehouse (in line with MRN Guidelines),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
22,,Total,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,C,Balance ( A  -  B ),,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,D,CONSUMPTION,,,,,,,,,,,,,,,,,
27,1,Material Consumed,,,,,,,,,,,,,,,,,
28,2,Wastage (max as per WO norms),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29,,,,,,,,,,,,,,,,,,,
30,,Total -Actual consumption (1+2),,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,E.,Excess consumption for which cost to be recovered from the Contractor (C-D) ,,,,,,,,,,,,,,,,,
